peso_xgboost,R2_media_de_folds
0.0,0.8188861678061025
0.05,0.8209005341371505
0.1,0.8227435012081404
0.15,0.8244150690190727
0.2,0.8259152375699469
0.25,0.8272440068607633
0.3,0.8284013768915218
0.35,0.8293873476622223
0.4,0.8302019191728651
0.45,0.8308450914234499
0.5,0.831316864413977
0.55,0.831617238144446
0.6,0.8317462126148571
0.65,0.8317037878252105
0.7,0.831489963775506
0.75,0.8311047404657436
0.8,0.8305481178959232
0.85,0.829820096066045
0.9,0.8289206749761089
0.95,0.8278498546261149
1.0,0.8266076350160629
