opcion,ms_21105_filas,us_por_fila,KB_en_disco
XGBoost,53.12652199972945,2.517248140238306,2380.7822265625
Red neuronal,107.7552739998282,5.105675148061038,626.921875
Media 50/50,160.88179599955765,7.6229232882993445,3007.7041015625
