ahorro_t,buques,filas_sin_ahorro_calculable,combustible_t,combustible_eur,ets_eur,fueleu_eur,cumplimiento_eur,total_eur,eur_por_t_cumplimiento,eur_por_t_combustible,precio_bunker,precio_eua,frontera
7360279.686310284,7415,0,2343515.6768587525,937406270.743501,367934718.9669809,64217965.713701986,432152684.68068284,1369558955.4241838,58.7141661864376,127.36014264335975,400,82.42,mediana
7360279.686310284,7415,0,2343515.6768587525,1171757838.4293764,367934718.9669809,64217965.713701986,432152684.68068284,1603910523.1100593,58.7141661864376,159.2001783041997,500,82.42,mediana
7360279.686310284,7415,0,2343515.6768587525,1406109406.1152515,367934718.9669809,64217965.713701986,432152684.68068284,1838262090.7959344,58.7141661864376,191.04021396503964,600,82.42,mediana
7360279.686310284,7415,0,2343515.6768587525,1640460973.8011267,367934718.9669809,64217965.713701986,432152684.68068284,2072613658.4818096,58.7141661864376,222.88024962587957,700,82.42,mediana
13840250.159221541,11095,0,4406740.5862455955,1762696234.498238,690402162.3495318,121157403.15847811,811559565.5080099,2574255800.006248,58.63763704930438,127.36014264335977,400,82.42,mejor_cuartil
13840250.159221541,11095,0,4406740.5862455955,2203370293.122798,690402162.3495318,121157403.15847811,811559565.5080099,3014929858.630808,58.63763704930438,159.2001783041997,500,82.42,mejor_cuartil
13840250.159221541,11095,0,4406740.5862455955,2644044351.7473574,690402162.3495318,121157403.15847811,811559565.5080099,3455603917.2553673,58.63763704930438,191.04021396503964,600,82.42,mejor_cuartil
13840250.159221541,11095,0,4406740.5862455955,3084718410.371917,690402162.3495318,121157403.15847811,811559565.5080099,3896277975.8799267,58.63763704930438,222.8802496258796,700,82.42,mejor_cuartil
