modelo,R2_cv_medio,desv_tipica,R2_peor_fold,segundos
Stacking (RF+GB+XGB),0.8300882474131566,0.009682840213901476,0.8194257970194495,241.93946290016174
XGBoost,0.8266076350160629,0.010377237925153255,0.8159130271688767,2.8762664794921875
Random Forest,0.8189133545729906,0.006229738357062767,0.8117508610464905,41.721900939941406
Gradient Boosting,0.7795340230021391,0.01503864055170414,0.7623297237034771,40.18571472167969
