modelo,R2_CV,desv_R2,MAE_CV,RMSE_CV,epocas_medias,segundos_total
XGBoost (notebook 04),0.826607635016063,0.0103772379251532,2592.8632506336767,5701.810536436649,200.0,3.7
Red densa 4x64 (estilo clase),0.8149013291087561,0.0144665985534982,2697.3812356416,5890.589750160259,77.0,150.6
Red regularizada 256-128-64,0.8188861678061025,0.0132517282004547,2679.84713652431,5827.694175298008,106.33333333333331,364.0
Red del tuner 160-64,0.8132041960962143,0.012830249175103,2711.248966472011,5918.312785274004,158.0,290.6
Red con embeddings 256-128-64,0.8157187187001044,0.0118285091602128,2721.5933372854256,5878.690517627034,76.33333333333333,277.7
