nivel_nominal_pct,factor_inferior,factor_superior,cobertura_real_2025_pct,cobertura_real_veteranos_pct,anchura_mediana_pct_de_la_prediccion
80.0,0.7245,1.2043,73.89,81.88,48.0
90.0,0.6085,1.3158,82.87,89.85,70.7
