fold,R2_xgb_nativo,R2_xgb_imputado,R2_red,R2_media,epocas,seg_xgb,seg_red
0,0.8983062015658052,0.8985305684022592,0.8990303455691587,0.9040297593847251,118,1.0,103.7
1,0.9212144064632398,0.9190364166648641,0.9209036145027019,0.9266607755663268,83,1.0,69.8
2,0.9150812976891965,0.9162947295700062,0.9180591934506253,0.9228968916766385,142,1.0,124.9
