ahorro_t,buques,filas_sin_ahorro_calculable,combustible_t,combustible_eur,ets_eur,fueleu_eur,cumplimiento_eur,total_eur,eur_por_t_cumplimiento,eur_por_t_combustible,precio_bunker,precio_eua,frontera,residuo,pct_emisiones
11327821.991700491,7415,0,3606782.5617539054,1803391280.8769526,562165013.0112032,99349192.77748007,661514205.7886832,2464905486.665636,58.39729881643198,159.20017830419968,500.0,82.42,mediana,ingenuo,7.549205750465555
7360279.686310284,7415,0,2343515.6768587525,1171757838.4293764,367934718.9669809,64217965.713701986,432152684.68068284,1603910523.1100593,58.7141661864376,159.2001783041997,500.0,82.42,mediana,persistente,4.905114661374309
22344278.341470096,11094,0,7114426.192081413,3557213096.0407066,1111435800.0076025,197687455.2110213,1309123255.2186236,4866336351.259331,58.588746309561614,159.20017830419968,500.0,82.42,mejor_cuartil,ingenuo,14.890907949384818
13840250.159221541,11095,0,4406740.5862455955,2203370293.122798,690402162.3495318,121157403.15847811,811559565.5080099,3014929858.630808,58.63763704930438,159.2001783041997,500.0,82.42,mejor_cuartil,persistente,9.223564438638613
