modelo,RMSE,MAE,R2_pooled,R2_media_de_folds
XGBoost,5707.79886347683,2592.8632506336767,0.8264267090351599,0.8266076350160629
Red regularizada,5835.820916674863,2679.84713652431,0.8185531266110003,0.8188861678061025
Media 50/50 de ambas,5631.321838133895,2581.060038196982,0.8310468576117036,0.831316864413977
