modelo,fold,RMSE,MAE,R2,epocas,segundos
Semilla 1234567,0,6256.079983010188,2752.5595348027346,0.8042476227681723,99,113.1
Semilla 1234567,1,5546.093884166067,2637.380392461468,0.8223462889056368,97,110.1
Semilla 1234567,2,5680.908658717768,2649.6014823087266,0.8300645917444984,123,140.8
Semilla 7,0,6186.306718297631,2738.676000983327,0.8085896765551406,113,127.1
Semilla 7,1,5560.149073175037,2618.936066290388,0.8214447100662181,113,127.1
Semilla 7,2,5743.7449251390335,2735.4369866055995,0.8262845057573022,81,94.0
Semilla 2026,0,6215.400457017502,2762.614530929127,0.8067850661092808,104,113.7
Semilla 2026,1,5557.418351814986,2611.589320308579,0.8216200524915843,120,133.1
Semilla 2026,2,5714.125218374512,2674.2805524742967,0.8280715401746491,116,129.3
