fraccion,buques,filas,R2_xgb,R2_red,epocas,ventaja_xgb,folds_gana_red
0.25,3440,14237,0.7776763017780987,0.7865603589369637,78.33333333333333,-0.008884057158865089,3
0.5,6880,28321,0.8070659929178423,0.8055337094865438,78.0,0.00153228343129852,2
0.75,10320,42636,0.8130707069491919,0.810959723013323,83.0,0.0021109839358689486,1
1.0,13761,56944,0.826607635016063,0.8188861678061025,106.33333333333333,0.007721467209960586,0
