nivel,n_variables,R2_cv,R2_test,RMSE_test,MAE_test
1. principal (buque + tiempo),34,0.8266076350160629,0.8336615287710847,5761.748254519967,2685.87196537873
2. tamano (+ capacidad de carga),40,0.8938438612745161,0.8998978293089854,4469.713366938883,2066.916014224631
3. operacional (+ velocidad media),35,0.9115339685727473,0.9163964797536949,4084.79445851643,1900.5649802255273
4. operacional + tamano,42,0.9412043084265943,0.9484241423405539,3208.3456847102943,1488.9622504429622
5. control (+ combustible),35,,0.9947945825976342,1019.2617012447212,168.6221953070382
