modelo,R2_CV,desv_R2,MAE_CV,segundos
XGBoost (NaN nativo),0.9115339685727473,0.011858925786133364,1849.643570901359,3.0
XGBoost (velocidad imputada),0.9112872382123766,0.011132325925645396,,
Red 256-128-64 (velocidad imputada),0.9126643845074952,0.011892768647772146,1874.597231979812,298.4
Media 50/50 (red + XGBoost),0.9178624755425634,0.01212640642198898,1803.2343847694187,
