columna,etiqueta_original_portal
co2_emissions_which_occurred_within_ports_under_a_ms_jurisdiction_m_tonnes,CO₂ emissions which occurred within ports under a MS jurisdiction [m tonnes]
co2eq_emissions_assigned_to_freight_transport_m_tonnes,CO₂eq emissions assigned to Freight transport [m tonnes]
co2eq_emissions_assigned_to_on_laden_m_tonnes,CO₂eq emissions assigned to On laden [m tonnes]
co2eq_emissions_assigned_to_passenger_transport_m_tonnes,CO₂eq emissions assigned to Passenger transport [m tonnes]
co2eq_emissions_benefitting_from_a_derogation_in_accordance_with_part_c_point_1_2_of_annex_ii_to_regulation_eu_2015_757_voluntary_m_tonnes,"CO₂eq emissions benefitting from a derogation in accordance with Part C, point 1.2, of Annex II to Regulation (EU) 2015/757 (voluntary) [m tonnes]"
co2eq_emissions_from_all_voyages_between_ports_under_a_ms_jurisdiction_m_tonnes,CO₂eq emissions from all voyages between ports under a MS jurisdiction [m tonnes]
co2eq_emissions_from_all_voyages_to_ports_under_a_ms_jurisdiction_m_tonnes,CO₂eq emissions from all voyages to ports under a MS jurisdiction [m tonnes]
co2eq_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_jurisdiction_m_tonnes,CO₂eq emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes]
co2eq_emissions_per_distance_kg_co2eq_n_mile,CO₂eq emissions per distance [kg CO₂eq / n mile]
co2eq_emissions_per_distance_on_laden_voyages_kg_co2eq_n_mile,CO₂eq emissions per distance on laden voyages [kg CO₂eq / n mile]
co2eq_emissions_per_time_spent_at_sea_m_tonnes_co2eq_m_tonnes_n_miles,CO₂eq emissions per time spent at sea [m tonnes CO₂eq / m tonnes · n miles]
co2eq_emissions_per_transport_work_dwt_g_co2eq_dwt_carried_n_miles,CO₂eq emissions per transport work (dwt) [g CO₂eq / dwt carried · n miles]
co2eq_emissions_per_transport_work_dwt_on_laden_voyages_g_co2eq_dwt_carried_n_miles,CO₂eq emissions per transport work (dwt) on laden voyages [g CO₂eq / dwt carried · n miles]
co2eq_emissions_per_transport_work_freight_g_co2eq_m_tonnes_n_miles,CO₂eq emissions per transport work (freight) [g CO₂eq / m tonnes · n miles]
co2eq_emissions_per_transport_work_freight_on_laden_voyages_g_co2eq_m_tonnes_n_miles,CO₂eq emissions per transport work (freight) on laden voyages [g CO₂eq / m tonnes · n miles]
co2eq_emissions_per_transport_work_mass_g_co2eq_m_tonnes_n_miles,CO₂eq emissions per transport work (mass) [g CO₂eq / m tonnes · n miles]
